Rank,Driver,Points,Diff
1,Kyle Busch,892,
2,Joey Logano,872,-20
3,Kevin Harvick,822,-70
4,Denny Hamlin,815,-77
5,Martin Truex Jr,805,-87
6,Brad Keselowski,754,-138
7,Chase Elliott,711,-181
8,Kurt Busch,701,-191
9,Ryan Blaney,654,-238
10,Alex Bowman,653,-239
11,Aric Almirola,645,-247
12,William Byron,642,-250
13,Kyle Larson,624,-268
14,Erik Jones,623,-269
15,Ryan Newman,569,-323
16,Clint Bowyer,559,-333
17,Daniel Suarez,553,-339
18,Jimmie Johnson,547,-345
19,Paul Menard,506,-386
20,Chris Buescher,486,-406
21,Ricky Stenhouse Jr,475,-417
