Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,39,39
Denny Hamlin,40,44,5
"Martin Truex, Jr.",45,55,11
Denny Hamlin,56,56,1
"Martin Truex, Jr.",57,63,7
Brad Keselowski,64,81,18
"Martin Truex, Jr.",82,82,1
Brad Keselowski,83,90,8
"Martin Truex, Jr.",91,108,18
Brad Keselowski,109,109,1
Kevin Harvick,110,113,4
"Martin Truex, Jr.",114,119,6
Kyle Busch,120,122,3
Kurt Busch,123,126,4
Joey Logano,127,141,15
Kurt Busch,142,142,1
Joey Logano,143,150,8
Ryan Blaney,151,153,3
Joey Logano,154,182,29
Kevin Harvick,183,200,18
