Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,2,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,200,running,22,45,5
2,14,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,200,running,6,44,0
3,17,42,Kyle Larson,McDonald's   (Chip Ganassi),Chevrolet,200,running,0,34,0
4,15,19,Martin Truex Jr,Auto-Owners Insurance / Truex 500th Start   (Joe Gibbs),Toyota,200,running,43,52,1
5,11,41,Daniel Suarez,Arris   (Stewart Haas Racing),Ford,200,running,0,32,0
6,22,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,200,running,3,41,1
7,29,47,Ryan Preece,Kroger / Little Bites / Tide Pods   (JTG-Daugherty Racing),Chevrolet,200,running,0,30,0
8,3,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,200,running,0,38,0
9,6,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,200,running,0,35,0
10,4,88,Alex Bowman,Axalta   (Rick Hendrick),Chevrolet,200,running,0,30,0
11,21,13,Ty Dillon,K&L Ready Mix   (Germain Racing),Chevrolet,200,running,0,26,0
12,20,6,Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,200,running,0,25,0
13,37,3,Austin Dillon,Chevrolet Accessories   (Richard Childress),Chevrolet,200,running,0,24,0
14,25,37,Chris Buescher,Kroger Fast Start / Nature Valley   (JTG-Daugherty Racing),Chevrolet,200,running,0,23,0
15,9,21,Paul Menard,Master Techs / Quick Lane Tire & Auto Center   (Wood Brothers),Ford,200,running,0,23,0
16,24,38,David Ragan,MDS Transport   (Bob Jenkins),Ford,200,running,0,21,0
17,8,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,200,running,52,34,0
18,16,20,Erik Jones,DeWalt   (Joe Gibbs),Toyota,200,running,0,25,0
19,1,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,200,running,66,26,0
20,27,95,Matt DiBenedetto,Toyota Express Maintenance   (Leavine Family Racing),Toyota,200,running,0,17,0
21,31,32,Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,200,running,0,16,0
22,23,34,Michael McDowell,Long John Silver's   (Bob Jenkins),Ford,200,running,0,15,0
23,13,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,200,running,5,22,0
24,7,12,Ryan Blaney,Menards / Moen   (Roger Penske),Ford,200,running,3,21,0
25,19,36,Matt Tifft,Meijer   (Bob Jenkins),Ford,199,running,0,12,0
26,38,8,Daniel Hemric,Bass Pro Shops / Tracker Boats   (Richard Childress),Chevrolet,199,running,0,11,0
27,26,43,Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,199,running,0,10,0
28,18,17,Ricky Stenhouse Jr,Loctite / Fastenal   (Jack Roush),Ford,199,running,0,9,0
29,30,15,Ross Chastain,Premium Motorsports   (Jay Robinson),Chevrolet,198,running,0,0,0
30,28,00,Landon Cassill,StarCom Fiber / Creek Enterprise   (StarCom Racing),Chevrolet,196,running,0,0,0
31,32,27,Quin Houff,Premium Motorsports   (Jay Robinson),Chevrolet,196,running,0,6,0
32,33,52,Austin Theriault,Bangor Savings Bank   (Rick Ware),Ford,194,running,0,5,0
33,12,10,Aric Almirola,3D Systems   (Stewart Haas Racing),Ford,193,running,0,5,0
34,10,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,192,running,0,3,0
35,35,77,Garrett Smithley,Victory Lane Quick Oil Change / Kendall Oil   (Spire Motorsports),Chevrolet,192,running,0,0,0
36,34,51,Cody Ware,Jacob Companies   (Rick Ware),Ford,191,running,0,0,0
37,5,14,Clint Bowyer,One Cure   (Stewart Haas Racing),Ford,139,crash,0,3,0
38,36,53,Spencer Boyd,Chelle Corporation   (Rick Ware),Ford,123,crash,0,0,0
