Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,61,61,,
yellow_flag,62,66,5,end of stage 1,#43
green_flag,67,116,50,,
yellow_flag,117,119,3,#2 spun turn 4,#36
green_flag,120,121,2,,
yellow_flag,122,127,6,"#3,8,10 accident frontstretch",#2
green_flag,128,133,6,,
yellow_flag,134,136,3,#53 accident turn 4,#34
green_flag,137,137,1,,
yellow_flag,138,141,4,"#21,14 accident turn 3",#32
green_flag,142,149,8,,
yellow_flag,150,152,3,#17 spun turn 4,#38
green_flag,153,200,48,,
Percent of race run under caution: 12.0%             Average green flag run: 25.1 laps
