Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,4,2,Brad Keselowski,Wurth   (Roger Penske),Ford,271,running,12,44,5
2,5,88,Alex Bowman,Axalta   (Rick Hendrick),Chevrolet,271,running,63,42,0
3,6,20,Erik Jones,DeWalt   (Joe Gibbs),Toyota,271,running,0,44,0
4,32,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,271,running,45,52,1
5,2,14,Clint Bowyer,Rush Truck Centers / Haas Automation   (Stewart Haas Racing),Ford,271,running,12,38,0
6,12,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,271,running,0,31,0
7,9,1,Kurt Busch,Global Poker   (Chip Ganassi),Chevrolet,271,running,7,40,0
8,35,42,Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,271,running,0,37,0
9,21,31,Tyler Reddick,Tame the Beast   (Richard Childress),Chevrolet,271,running,0,0,0
10,18,37,Chris Buescher,Kroger - Your Personal Pit Stop   (JTG-Daugherty Racing),Chevrolet,271,running,10,37,0
11,14,17,Ricky Stenhouse Jr,Sunny D   (Jack Roush),Ford,271,running,11,40,0
12,33,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,271,running,0,25,0
13,1,4,Kevin Harvick,Busch Beer   (Stewart Haas Racing),Ford,271,running,104,43,1
14,34,41,Daniel Suarez,Haas Automation Demo Day   (Stewart Haas Racing),Ford,271,running,0,23,0
15,30,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,270,running,0,23,0
16,11,11,Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,270,running,0,21,0
17,15,3,Austin Dillon,American Ethanol   (Richard Childress),Chevrolet,270,running,0,20,0
18,17,8,Daniel Hemric,Bass Pro Shops / Tracker Boats   (Richard Childress),Chevrolet,270,running,0,19,0
19,31,19,Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,270,running,0,18,0
20,3,24,William Byron,UniFirst   (Rick Hendrick),Chevrolet,270,running,4,17,0
21,26,36,Matt Tifft,Out West Express   (Bob Jenkins),Ford,270,running,1,16,0
22,16,32,Corey LaJoie,Schluter Systems   (Archie St. Hilaire),Ford,270,running,0,15,0
23,19,6,Ryan Newman,Performance Plus Motor Oil   (Jack Roush),Ford,269,running,0,14,0
24,10,21,Paul Menard,Menards / Dutch Boy   (Wood Brothers),Ford,269,running,0,13,0
25,22,47,Ryan Preece,Kroger / Gain / Energizer   (JTG-Daugherty Racing),Chevrolet,269,running,0,12,0
26,37,34,Michael McDowell,Dockside Logistics   (Bob Jenkins),Ford,269,running,0,11,0
27,24,38,David Ragan,Mystik Lubricants   (Bob Jenkins),Ford,269,running,0,10,0
28,36,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,269,running,0,9,0
29,7,43,Bubba Wallace,World Wide Technology   (Richard Petty Motorsports),Chevrolet,269,running,0,8,0
30,8,18,Kyle Busch,M&M's Red Nose Day   (Joe Gibbs),Toyota,268,running,1,9,0
31,27,15,Ross Chastain,Low-T Center   (Jay Robinson),Chevrolet,268,running,1,0,0
32,13,12,Ryan Blaney,Body Armor   (Roger Penske),Ford,264,running,0,5,0
33,23,52,Bayley Currey,Belmont Classic Cars   (Rick Ware),Ford,263,running,0,0,0
34,25,77,Quin Houff,Oil Fire Rye Whiskey   (Spire Motorsports),Chevrolet,263,running,0,3,0
35,29,27,Reed Sorenson,Harrah's North Kansas City   (Jay Robinson),Chevrolet,262,running,0,2,0
36,20,95,Matt DiBenedetto,Digital Momentum / Hubspot   (Leavine Family Racing),Toyota,261,engine,0,1,0
37,38,00,Landon Cassill,StarCom Fiber   (StarCom Racing),Chevrolet,261,running,0,0,0
38,40,46,Joey Gase,MBM Motorsports   (Carl Long),Toyota,258,running,0,0,0
39,39,66,Timmy Hill,MBM Motorsports   (Carl Long),Toyota,257,running,0,0,0
40,28,51,Cody Ware,Jacob Companies   (Rick Ware),Chevrolet,245,running,0,0,0
