Rank,Driver,Points,Diff
1,Joey Logano,478,
2,Kyle Busch,469,-9
3,Kevin Harvick,440,-38
4,Chase Elliott,423,-55
5,Brad Keselowski,421,-57
6,Denny Hamlin,404,-74
7,Martin Truex Jr,396,-82
8,Kurt Busch,387,-91
9,Clint Bowyer,357,-121
10,Ryan Blaney,340,-138
11,Aric Almirola,334,-144
12,Alex Bowman,329,-149
13,Daniel Suarez,315,-163
14,Erik Jones,308,-170
15,Kyle Larson,304,-174
16,Jimmie Johnson,292,-186
17,Ryan Newman,284,-194
18,Austin Dillon,281,-197
19,William Byron,277,-201
20,Ricky Stenhouse Jr,267,-211
20,Paul Menard,267,-211
