Rank,Driver,Wins,Points
1,Kyle Busch,3,469
2,Brad Keselowski,3,421
3,Denny Hamlin,2,404
4,Martin Truex Jr,2,396
5,Joey Logano,1,478
6,Chase Elliott,1,423
7,Kevin Harvick,0,440
8,Kurt Busch,0,387
9,Clint Bowyer,0,357
10,Ryan Blaney,0,340
11,Aric Almirola,0,334
12,Alex Bowman,0,329
13,Daniel Suarez,0,315
14,Erik Jones,0,308
15,Kyle Larson,0,304
16,Jimmie Johnson,0,292
