Leader,From Lap,To Lap,# Of Laps
Kevin Harvick,1,32,32
William Byron,33,36,4
Clint Bowyer,37,48,12
Kevin Harvick,49,62,14
Chase Elliott,63,65,3
Kyle Busch,66,66,1
Chase Elliott,67,72,6
Kevin Harvick,73,83,11
Ross Chastain,84,84,1
Kurt Busch,85,91,7
Kevin Harvick,92,122,31
Chase Elliott,123,123,1
Alex Bowman,124,124,1
Chris Buescher,125,134,10
"Ricky Stenhouse, Jr.",135,142,8
Brad Keselowski,143,143,1
Matt Tifft,144,144,1
Chase Elliott,145,162,18
Kevin Harvick,163,178,16
Alex Bowman,179,228,50
Chase Elliott,229,245,17
"Ricky Stenhouse, Jr.",246,248,3
Alex Bowman,249,260,12
Brad Keselowski,261,271,11
