Rank,Driver,Points,Diff
1,Kyle Larson,2151,
2,Denny Hamlin,2127,-24
3,Martin Truex Jr,2113,-38
4,Joey Logano,2093,-58
5,Ryan Blaney,2081,-70
6,Kevin Harvick,2078,-73
7,Chase Elliott,2072,-79
8,Christopher Bell,2070,-81
9,Brad Keselowski,2066,-85
10,Kyle Busch,2061,-90
11,Aric Almirola,2056,-95
12,Alex Bowman,2053,-98
12,Kurt Busch,2053,-98
14,Tyler Reddick,2048,-103
15,William Byron,2035,-116
16,Michael McDowell,2015,-136
17,Austin Dillon,739,-1412
18,Matt DiBenedetto,602,-1549
19,Ross Chastain,601,-1550
20,Chris Buescher,584,-1567
21,Ricky Stenhouse Jr,557,-1594
