Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,32,32
Kurt Busch,33,36,4
Denny Hamlin,37,90,54
Chase Elliott,91,131,41
"Martin Truex, Jr.",132,132,1
Kyle Larson,133,134,2
Christopher Bell,135,137,3
Denny Hamlin,138,161,24
Chase Elliott,162,177,16
Denny Hamlin,178,179,2
Chase Elliott,180,180,1
Kyle Larson,181,184,4
Christopher Bell,185,186,2
Denny Hamlin,187,268,82
"Martin Truex, Jr.",269,296,28
Christopher Bell,297,301,5
Ross Chastain,302,305,4
Kyle Busch,306,344,39
Denny Hamlin,345,347,3
Kyle Larson,348,349,2
"Martin Truex, Jr.",350,400,51
