Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,3,3
"Martin Truex, Jr.",4,88,85
Chase Elliott,89,112,24
Denny Hamlin,113,133,21
Alex Bowman,134,134,1
Kyle Busch,135,139,5
Kurt Busch,140,162,23
Chase Elliott,163,217,55
Denny Hamlin,218,220,3
Joey Logano,221,221,1
Denny Hamlin,222,239,18
Chase Elliott,240,266,27
"Martin Truex, Jr.",267,267,1
Chase Elliott,268,353,86
Joey Logano,354,368,15
Ryan Blaney,369,404,36
Joey Logano,405,407,3
"Martin Truex, Jr.",408,442,35
Corey LaJoie,443,448,6
"Martin Truex, Jr.",449,456,8
Chase Elliott,457,500,44
