Rank,Driver,Points,Diff
1,Denny Hamlin,5000,
1,Chase Elliott,5000,0
1,Brad Keselowski,5000,0
1,Joey Logano,5000,0
5,Kevin Harvick,2380,-2620
6,Alex Bowman,2346,-2654
7,Martin Truex Jr,2314,-2686
8,Kyle Busch,2307,-2693
9,Ryan Blaney,2293,-2707
10,Austin Dillon,2258,-2742
11,Kurt Busch,2256,-2744
12,Clint Bowyer,2228,-2772
13,William Byron,2218,-2782
14,Matt DiBenedetto,2217,-2783
15,Aric Almirola,2211,-2789
16,Cole Custer,2193,-2807
17,Erik Jones,858,-4142
18,Jimmie Johnson,799,-4201
19,Tyler Reddick,762,-4238
20,Christopher Bell,658,-4342
21,Chris Buescher,628,-4372
