Rank,Driver,Wins,Points
1,William Byron,4,628
2,Martin Truex Jr,2,607
3,Kyle Busch,3,592
4,Christopher Bell,1,591
5,Ross Chastain,1,575
6,Denny Hamlin,1,561
7,Ryan Blaney,1,553
8,Kyle Larson,2,531
9,Kevin Harvick,0,530
10,Joey Logano,1,518
11,Chris Buescher,0,506
12,Brad Keselowski,0,504
13,Tyler Reddick,1,475
14,Ricky Stenhouse Jr,1,445
15,Michael McDowell,0,407
15,Daniel Suarez,0,407
