Rank,Driver,Points,Diff
1,William Byron,627,
2,Martin Truex Jr,607,-20
3,Kyle Busch,592,-35
4,Christopher Bell,591,-36
5,Ross Chastain,575,-52
6,Denny Hamlin,562,-65
7,Ryan Blaney,553,-74
8,Kyle Larson,531,-96
9,Kevin Harvick,530,-97
10,Joey Logano,518,-109
11,Chris Buescher,506,-121
12,Brad Keselowski,504,-123
13,Tyler Reddick,475,-152
14,Ricky Stenhouse Jr,445,-182
15,Daniel Suarez,407,-220
15,Michael McDowell,407,-220
17,Bubba Wallace,404,-223
18,A.J. Allmendinger,394,-233
19,Ty Gibbs,381,-246
20,Austin Cindric,369,-258
21,Justin Haley,366,-261
