Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,91,91,,
yellow_flag,92,97,6,end of stage 1,#41
green_flag,98,116,19,,
yellow_flag,117,122,6,spun turn 4,#16
green_flag,123,126,4,,
yellow_flag,127,130,4,spun frontstretch,#43
green_flag,131,136,6,,
yellow_flag,137,140,4,rain,#8
green_flag,141,186,46,,
yellow_flag,187,192,6,end of stage 2,#42
green_flag,193,202,10,,
yellow_flag,203,208,6,accident turn 2,#42
green_flag,209,209,1,,
yellow_flag,210,213,4,accident turn 2,#42
green_flag,214,219,6,,
yellow_flag,220,225,6,accident,#43
green_flag,226,228,3,,
yellow_flag,229,234,6,accident turn 2,#43
green_flag,235,243,9,,
yellow_flag,244,248,5,accident turn 2,none
green_flag,249,299,51,,
yellow_flag,300,304,5,accident backstretch,#12
green_flag,305,305,1,,
yellow_flag,306,312,7,,#16
green_flag,313,313,1,,
yellow_flag,314,319,6,accident backstretch,#2
green_flag,320,320,1,,
yellow_flag,321,324,4,accident turn 1,#6
green_flag,325,325,1,,
yellow_flag,326,329,4,accident turn 4,#6
green_flag,330,331,2,,
Percent of race run under caution: 23.9%             Average green flag run: 15.8 laps
