Rank,Driver,Wins,Points
1,Kyle Larson,3,664
2,Chase Elliott,1,644
3,Denny Hamlin,3,621
4,Tyler Reddick,1,611
5,Martin Truex Jr,0,591
6,Christopher Bell,3,576
7,William Byron,3,570
8,Ryan Blaney,1,560
9,Brad Keselowski,1,531
10,Ty Gibbs,0,518
11,Ross Chastain,0,514
12,Chris Buescher,0,504
13,Alex Bowman,0,499
14,Joey Logano,1,470
15,Bubba Wallace,0,448
16,Chase Briscoe,0,421
