Leader,From Lap,To Lap,# Of Laps
Denny Hamlin,1,16,16
Christopher Bell,17,38,22
Ty Gibbs,39,40,2
Tyler Reddick,41,45,5
Michael McDowell,46,76,31
Christopher Bell,77,92,16
Denny Hamlin,93,117,25
Christopher Bell,118,187,70
Tyler Reddick,188,188,1
Christopher Bell,189,208,20
Tyler Reddick,209,213,5
Christopher Bell,214,214,1
Tyler Reddick,215,215,1
Christopher Bell,216,217,2
Tyler Reddick,218,221,4
Ryan Blaney,222,233,12
A.J. Allmendinger,234,234,1
Ryan Blaney,235,248,14
Ross Chastain,249,293,45
Denny Hamlin,294,322,29
Joey Logano,323,331,9
