Rank,Driver,Points,Diff
1,Joey Logano,133,
2,Kevin Harvick,131,-2
3,Denny Hamlin,127,-6
4,Kyle Busch,121,-12
5,Brad Keselowski,115,-18
6,Kyle Larson,102,-31
7,Ricky Stenhouse Jr,99,-34
8,Martin Truex Jr,98,-35
8,Erik Jones,98,-35
10,Kurt Busch,95,-38
11,Aric Almirola,92,-41
12,Alex Bowman,85,-48
13,Clint Bowyer,83,-50
14,Chase Elliott,81,-52
15,Ryan Blaney,69,-64
16,William Byron,66,-67
17,Jimmie Johnson,65,-68
18,Daniel Suarez,63,-70
19,Ryan Newman,62,-71
20,Paul Menard,61,-72
21,Austin Dillon,56,-77
