Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,10,22,Joey Logano,Pennzoil   (Roger Penske),Ford,267,running,86,58,6
2,19,2,Brad Keselowski,Discount Tire   (Roger Penske),Ford,267,running,17,43,0
3,3,18,Kyle Busch,M&M's Chocolate Bar   (Joe Gibbs),Toyota,267,running,13,43,0
4,1,4,Kevin Harvick,Jimmy John's   (Stewart Haas Racing),Ford,267,running,88,52,1
5,28,1,Kurt Busch,Star Nursery 1999 Throwback   (Chip Ganassi),Chevrolet,267,running,23,32,0
6,8,17,Ricky Stenhouse Jr,Fastenal   (Jack Roush),Ford,267,running,5,39,0
7,25,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,267,running,0,34,0
8,23,19,Martin Truex Jr,Bass Pro Shops / Tracker ATVs   (Joe Gibbs),Toyota,267,running,0,41,0
9,12,9,Chase Elliott,Hooters   (Rick Hendrick),Chevrolet,267,running,0,36,0
10,2,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,267,running,0,40,0
11,11,88,Alex Bowman,Axalta   (Rick Hendrick),Chevrolet,267,running,0,28,0
12,7,42,Kyle Larson,Credit One Bank   (Chip Ganassi),Chevrolet,267,running,0,25,0
13,18,20,Erik Jones,Sport Clips   (Joe Gibbs),Toyota,267,running,0,30,0
14,17,14,Clint Bowyer,One Cure   (Stewart Haas Racing),Ford,267,running,0,23,0
15,15,21,Paul Menard,Motorcraft / Quick Lane Tire & Auto Center   (Wood Brothers),Ford,267,running,0,22,0
16,20,24,William Byron,Hertz   (Rick Hendrick),Chevrolet,267,running,21,21,0
17,22,41,Daniel Suarez,Haas Automation   (Stewart Haas Racing),Ford,267,running,12,22,0
18,27,37,Chris Buescher,Natural Light Naturdays / Totino's   (JTG-Daugherty Racing),Chevrolet,267,running,0,19,0
19,9,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,266,running,0,19,0
20,4,3,Austin Dillon,Dow Silastic Silicone Elastomers   (Richard Childress),Chevrolet,266,running,2,17,0
21,26,95,Matt DiBenedetto,Dumont Jets   (Leavine Family Racing),Toyota,266,running,0,16,0
22,13,12,Ryan Blaney,Menards / Pennzoil   (Roger Penske),Ford,266,running,0,15,0
23,5,8,Daniel Hemric,Caterpillar   (Richard Childress),Chevrolet,265,running,0,14,0
24,29,6,Ryan Newman,Wyndham Rewards   (Jack Roush),Ford,265,running,0,13,0
25,24,47,Ryan Preece,Kroger.com / Pringles / Breyer's   (JTG-Daugherty Racing),Chevrolet,265,running,0,12,0
26,21,43,Bubba Wallace,Transportation Impact   (Richard Petty Motorsports),Chevrolet,265,running,0,11,0
27,30,32,Corey LaJoie,Prospr   (Archie St. Hilaire),Ford,264,running,0,10,0
28,6,38,David Ragan,Citgard Heavy Duty Engine Oil   (Bob Jenkins),Ford,264,running,0,9,0
29,14,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,264,running,0,8,0
30,16,34,Michael McDowell,Love's Travel Stops / Speedco   (Bob Jenkins),Ford,263,running,0,7,0
31,32,96,Parker Kligerman,Gaunt Brothers,Toyota,263,running,0,0,0
32,31,00,Landon Cassill,Manscaped: Below the Belt Grooming   (StarCom Racing),Chevrolet,260,running,0,0,0
33,38,15,Ross Chastain,Rim Ryderz   (Jay Robinson),Chevrolet,259,running,0,0,0
34,35,36,Matt Tifft,Surface Sunscreen / Tunity   (Bob Jenkins),Ford,259,running,0,3,0
35,33,51,Cody Ware,Jacob Companies   (Rick Ware),Chevrolet,253,running,0,2,0
36,37,77,Reed Sorenson,The Mirage   (Spire Motorsports),Chevrolet,252,running,0,1,0
37,34,52,B.J. McLeod,Mtel-One   (Rick Ware),Ford,220,running,0,0,0
38,36,66,Joey Gase,Donate Life Nevada   (Carl Long),Toyota,10,engine,0,0,0
