Leader,From Lap,To Lap,# Of Laps
Kevin Harvick,1,43,43
Joey Logano,44,49,6
Daniel Suarez,50,61,12
Kevin Harvick,62,83,22
Brad Keselowski,84,96,13
Joey Logano,97,119,23
Kyle Busch,120,128,9
William Byron,129,149,21
Joey Logano,150,163,14
Kurt Busch,164,168,5
Joey Logano,169,169,1
Kurt Busch,170,187,18
Kevin Harvick,188,210,23
Joey Logano,211,215,5
Kyle Busch,216,219,4
"Ricky Stenhouse, Jr.",220,224,5
Austin Dillon,225,226,2
Joey Logano,227,239,13
Brad Keselowski,240,243,4
Joey Logano,244,267,24
