Leader,From Lap,To Lap,# Of Laps
Joey Logano,1,1,1
Brad Keselowski,2,32,31
Joey Logano,33,41,9
William Byron,42,43,2
Joey Logano,44,45,2
William Byron,46,53,8
Joey Logano,54,54,1
William Byron,55,59,5
Joey Logano,60,60,1
William Byron,61,86,26
Denny Hamlin,87,88,2
Kyle Larson,89,107,19
"Ricky Stenhouse, Jr.",108,122,15
Harrison Burton,123,137,15
Chase Elliott,138,138,1
B.J. McLeod,139,139,1
Chase Elliott,140,140,1
Ross Chastain,141,141,1
Chase Elliott,142,183,42
Ryan Blaney,184,190,7
Daniel Suarez,191,191,1
Ryan Blaney,192,213,22
Michael McDowell,214,223,10
Erik Jones,224,224,1
Michael McDowell,225,226,2
Tyler Reddick,227,243,17
Kevin Harvick,244,252,9
"Martin Truex, Jr.",253,267,15
Austin Dillon,268,270,3
William Byron,271,271,1
"Ricky Stenhouse, Jr.",272,276,5
Todd Gilliland,277,277,1
"Ricky Stenhouse, Jr.",278,280,3
Tyler Reddick,281,309,29
Joey Logano,310,310,1
Tyler Reddick,311,334,24
