Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,40,40,,
yellow_flag,41,44,4,#19 accident turn 4,#77
green_flag,45,49,5,,
yellow_flag,50,54,5,#18 accident turn 4,#45
green_flag,55,56,2,,
yellow_flag,57,60,4,"#42,47 accident frontstretch",#51
green_flag,61,78,18,,
yellow_flag,79,83,5,#20 accident turn 1,#15
green_flag,84,97,14,,
yellow_flag,98,102,5,#48 accident turn 4,none
green_flag,103,106,4,,
yellow_flag,107,111,5,end of stage 1,none
green_flag,112,137,26,,
yellow_flag,138,141,4,#20 spun turn 4,#8
green_flag,142,168,27,,
yellow_flag,169,177,9,#51 accident turn 4,#78
green_flag,178,184,7,,
yellow_flag,185,191,7,#9 accident turn 4,#21
green_flag,192,197,6,,
yellow_flag,198,201,4,#17 spun frontstretch,#48
green_flag,202,211,10,,
yellow_flag,212,223,12,end of stage 2,#48
green_flag,224,242,19,,
yellow_flag,243,247,5,#17 accident turn 4,#48
green_flag,248,253,6,,
yellow_flag,254,258,5,#4 accident turn 3,none
green_flag,259,268,10,,
yellow_flag,269,276,8,#19 accident turn 3,#4
green_flag,277,300,24,,
yellow_flag,301,305,5,"#2,47 accident backstretch",#48
green_flag,306,306,1,,
yellow_flag,307,310,4,#10 accident turn 2,#2
green_flag,311,334,24,,
Percent of race run under caution: 27.2%             Average green flag run: 14.3 laps
