Rank,Driver,Points,Diff
1,Joey Logano,3071,
2,Ross Chastain,3059,-12
3,William Byron,3058,-13
4,Kyle Larson,3057,-14
5,Ryan Blaney,3056,-15
6,Denny Hamlin,3049,-22
7,Chase Elliott,3045,-26
7,Daniel Suarez,3045,-26
9,Chase Briscoe,3041,-30
10,Austin Cindric,3034,-37
11,Christopher Bell,3016,-55
12,Tyler Reddick,2107,-964
13,Alex Bowman,2104,-967
14,Austin Dillon,2083,-988
15,Kyle Busch,2068,-1003
16,Kevin Harvick,2063,-1008
17,Martin Truex Jr,869,-2202
18,Erik Jones,689,-2382
19,Bubba Wallace,657,-2414
20,Aric Almirola,640,-2431
21,Chris Buescher,606,-2465
