Rank,Driver,Points,Diff
1,Kyle Busch,430,
2,Joey Logano,415,-15
3,Denny Hamlin,367,-63
4,Kevin Harvick,350,-80
5,Brad Keselowski,337,-93
6,Martin Truex Jr,328,-102
7,Chase Elliott,324,-106
8,Kurt Busch,323,-107
9,Ryan Blaney,306,-124
10,Clint Bowyer,288,-142
10,Aric Almirola,288,-142
12,Daniel Suarez,266,-164
13,Ryan Newman,251,-179
14,Austin Dillon,243,-187
15,Alex Bowman,239,-191
16,Jimmie Johnson,238,-192
17,Paul Menard,234,-196
18,Erik Jones,230,-200
19,William Byron,226,-204
20,Ricky Stenhouse Jr,223,-207
21,Kyle Larson,221,-209
