Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,11,11,,
yellow_flag,12,16,5,"#43,11,34,4,14,36 accident turn 1",none
green_flag,17,56,40,,
yellow_flag,57,60,4,end of stage 1,#10
green_flag,61,111,51,,
yellow_flag,112,116,5,end of stage 2,#81
green_flag,117,132,16,,
yellow_flag,133,136,4,debris backstretch,#27
green_flag,137,182,46,,
yellow_flag,183,184,2,"#10,19,37,77,95 accident backstretch",#38
green_flag,185,187,3,,
yellow_flag,188,188,1,"#17,24,42,38,81 accident backstretch",none
Percent of race run under caution: 11.2%             Average green flag run: 27.8 laps
