Leader,From Lap,To Lap,# Of Laps
Brad Keselowski,1,7,7
Joey Logano,8,8,1
Ryan Blaney,9,9,1
Joey Logano,10,13,4
Brendan Gaughan,14,14,1
Joey Logano,15,16,2
Aric Almirola,17,30,14
Joey Logano,31,32,2
Aric Almirola,33,33,1
Kyle Larson,34,34,1
Aric Almirola,35,46,12
"Martin Truex, Jr.",47,49,3
Ty Dillon,50,56,7
Chase Elliott,57,60,4
Alex Bowman,61,67,7
Brad Keselowski,68,70,3
Joey Logano,71,73,3
Ryan Blaney,74,75,2
Kyle Busch,76,76,1
Ryan Blaney,77,77,1
"Ricky Stenhouse, Jr.",78,90,13
Kyle Busch,91,92,2
"Ricky Stenhouse, Jr.",93,93,1
Chase Elliott,94,112,19
Brendan Gaughan,113,114,2
Chase Elliott,115,132,18
Brendan Gaughan,133,134,2
Erik Jones,135,138,4
Joey Logano,139,143,5
"Martin Truex, Jr.",144,151,8
Joey Logano,152,154,3
Matt DiBenedetto,155,155,1
Ross Chastain,156,164,9
"Ricky Stenhouse, Jr.",165,166,2
Joey Logano,167,173,7
Kyle Busch,174,174,1
Joey Logano,175,184,10
Chase Elliott,185,188,4
