Rank,Driver,Wins,Points
1,Kyle Busch,3,430
2,Denny Hamlin,2,367
3,Brad Keselowski,2,337
4,Joey Logano,1,415
5,Martin Truex Jr,1,328
6,Chase Elliott,1,324
7,Kevin Harvick,0,350
8,Kurt Busch,0,323
9,Ryan Blaney,0,306
10,Aric Almirola,0,288
10,Clint Bowyer,0,288
12,Daniel Suarez,0,266
13,Ryan Newman,0,251
14,Austin Dillon,0,243
15,Alex Bowman,0,239
16,Jimmie Johnson,0,238
