Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,8,12,Ryan Blaney,BodyArmor Cherry Lime   (Roger Penske),Ford,400,running,163,64,6
2,1,24,William Byron,Liberty University Patriotic   (Rick Hendrick),Chevrolet,400,running,91,55,1
3,18,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,400,running,0,48,0
4,7,23,Bubba Wallace,Dr Pepper Strawberries & Cream   (23XI Racing),Toyota,400,running,0,34,0
5,15,45,Tyler Reddick,Jordan Brand   (23XI Racing),Toyota,400,running,28,48,0
6,5,8,Kyle Busch,Alsco   (Richard Childress),Chevrolet,400,running,1,39,0
7,10,47,Ricky Stenhouse Jr,Kroger / Coca-Cola   (JTG-Daugherty Racing),Chevrolet,400,running,4,33,0
8,11,17,Chris Buescher,Fastenal   (Jack Roush),Ford,400,running,12,39,1
9,33,3,Austin Dillon,Bass Pro Shops   (Richard Childress),Chevrolet,400,running,0,28,0
10,29,38,Zane Smith,Boot Barn   (Bob Jenkins),Ford,400,running,3,0,0
11,2,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,400,running,19,38,0
12,31,48,Alex Bowman,Ally Patriotic   (Rick Hendrick),Chevrolet,400,running,0,26,0
13,22,41,Ryan Preece,HaasTooling.com   (Stewart Haas Racing),Ford,400,running,0,24,0
14,27,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,400,running,0,23,0
15,16,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,400,running,0,22,0
16,36,15,J.J. Yeley,Patriot Mobile   (Rick Ware),Ford,400,running,0,0,0
17,25,7,Corey LaJoie,AeroVanti   (Spire Motorsports),Chevrolet,400,running,0,20,0
18,13,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,400,running,0,19,0
19,3,6,Brad Keselowski,Castrol Edge   (Jack Roush),Ford,400,running,0,29,0
20,20,14,Chase Briscoe,Mahindra Tractors   (Stewart Haas Racing),Ford,400,running,0,-103,0
21,17,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,400,running,0,23,0
22,14,1,Ross Chastain,AdventHealth   (Trackhouse Racing),Chevrolet,400,running,0,17,0
23,24,99,Daniel Suarez,Jockey   (Trackhouse Racing),Chevrolet,400,running,0,14,0
24,9,20,Christopher Bell,Interstate Batteries   (Joe Gibbs),Toyota,400,running,48,27,0
25,23,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,400,running,0,12,0
26,19,54,Ty Gibbs,Monster Energy   (Joe Gibbs),Toyota,398,running,0,21,0
27,32,77,Ty Dillon,Ferris Commercial Mowers   (Spire Motorsports),Chevrolet,397,running,0,10,0
28,30,34,Michael McDowell,Chicago Pneumatic Compressors   (Bob Jenkins),Ford,396,running,4,9,0
29,34,78,B.J. McLeod,B'laster   (B.J. McLeod),Chevrolet,392,running,0,8,0
30,12,5,Kyle Larson,HendrickCars.com Patriotic   (Rick Hendrick),Chevrolet,377,crash,1,14,0
31,21,2,Austin Cindric,Menards  Duracell   (Roger Penske),Ford,369,crash,0,6,0
32,26,43,Erik Jones,U.S. Air Force   (Legacy Motor Club),Chevrolet,341,running,0,-55,0
33,35,51,Todd Gilliland,Ruedebusch Development & Construction   (Rick Ware),Ford,265,crash,0,4,0
34,6,9,Chase Elliott,NAPA Patriotic   (Rick Hendrick),Chevrolet,185,crash,6,3,0
35,4,11,Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,185,crash,20,7,0
36,28,42,Noah Gragson,Black Rifle Coffee Company   (Legacy Motor Club),Chevrolet,117,engine,0,1,0
37,37,84,Jimmie Johnson,Club Wyndham   (Legacy Motor Club),Chevrolet,115,crash,0,1,0
