Rank,Driver,Wins,Points
1,Ross Chastain,0,446
2,Ryan Blaney,1,445
3,William Byron,3,442
4,Kevin Harvick,0,438
5,Martin Truex Jr,1,433
6,Christopher Bell,1,429
7,Tyler Reddick,1,409
8,Denny Hamlin,1,400
9,Brad Keselowski,0,394
10,Kyle Busch,2,392
11,Kyle Larson,2,377
12,Chris Buescher,0,368
13,Ricky Stenhouse Jr,1,358
14,Joey Logano,1,357
15,Bubba Wallace,0,327
16,Alex Bowman,0,296
