Leader,From Lap,To Lap,# Of Laps
William Byron,1,13,13
Denny Hamlin,14,32,19
Christopher Bell,33,36,4
Denny Hamlin,37,37,1
William Byron,38,41,4
Ryan Blaney,42,62,21
Christopher Bell,63,75,13
William Byron,76,103,28
Michael McDowell,104,107,4
William Byron,108,116,9
Christopher Bell,117,147,31
Chase Elliott,148,153,6
Tyler Reddick,154,181,28
Ryan Blaney,182,191,10
Chris Buescher,192,203,12
Kevin Harvick,204,204,1
Ricky Stenhouse Jr,205,208,4
Kevin Harvick,209,225,17
Ryan Blaney,226,232,7
Kevin Harvick,233,233,1
William Byron,234,236,3
Ryan Blaney,237,276,40
Kyle Larson,277,277,1
William Byron,278,281,4
Ryan Blaney,282,303,22
William Byron,304,307,4
Ryan Blaney,308,344,37
Kyle Busch,345,345,1
William Byron,346,359,14
Zane Smith,360,362,3
William Byron,363,374,12
Ryan Blaney,375,400,26
