Rank,Driver,Points,Diff
1,Ross Chastain,446,
2,Ryan Blaney,445,-1
3,William Byron,441,-5
4,Kevin Harvick,438,-8
5,Martin Truex Jr,433,-13
6,Christopher Bell,429,-17
7,Tyler Reddick,409,-37
8,Denny Hamlin,401,-45
9,Brad Keselowski,394,-52
10,Kyle Busch,392,-54
11,Kyle Larson,377,-69
12,Chris Buescher,368,-78
13,Ricky Stenhouse Jr,358,-88
14,Joey Logano,357,-89
15,Bubba Wallace,327,-119
16,Alex Bowman,296,-150
17,Ty Gibbs,281,-165
18,Daniel Suarez,276,-170
19,Corey LaJoie,258,-188
20,Austin Cindric,254,-192
21,Michael McDowell,250,-196
