driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Ryan Blaney,8,6,1,1,19,3,15,71,56,62,87.3,79,396,99.0,163,40.8,400,144.9
William Byron,1,8,2,1,18,4,-10,68,78,57,83.8,14,396,99.0,91,22.8,400,121.8
Martin Truex Jr,18,16,3,2,26,7,44,148,104,116,78.4,24,381,95.3,0,0.0,400,107.5
Bubba Wallace,7,10,4,4,33,16,8,164,156,81,49.4,3,216,54.0,0,0.0,400,88.5
Tyler Reddick,15,11,5,1,20,5,9,103,94,88,85.4,37,388,97.0,28,7.0,400,117.0
Kyle Busch,5,25,6,1,27,7,8,116,108,91,78.4,10,370,92.5,1,0.3,400,105.7
Ricky Stenhouse Jr,10,23,7,1,23,10,-28,130,158,107,82.3,2,375,93.8,4,1.0,400,95.7
Chris Buescher,11,1,8,1,27,14,13,163,150,99,60.7,3,257,64.3,12,3.0,400,84.4
Austin Dillon,33,19,9,7,33,21,10,172,162,35,20.3,0,95,23.8,0,0.0,400,65.5
Zane Smith,29,26,10,1,32,21,20,172,152,41,23.8,0,114,28.5,3,0.8,400,64.7
Kevin Harvick,2,2,11,1,30,13,-16,149,165,90,60.4,12,271,67.8,19,4.8,400,87.0
Alex Bowman,31,12,12,5,33,16,53,221,168,81,36.7,3,191,47.8,0,0.0,400,77.7
Ryan Preece,22,18,13,6,30,19,-21,182,203,28,15.4,0,88,22.0,0,0.0,400,62.8
A.J. Allmendinger,27,20,14,7,34,21,-2,179,181,27,15.1,1,49,12.3,0,0.0,400,60.6
Justin Haley,16,14,15,8,27,17,-19,158,177,62,39.2,1,141,35.3,0,0.0,400,72.1
J.J. Yeley,36,28,16,10,36,27,-29,69,98,1,1.4,0,13,3.3,0,0.0,400,46.8
Corey LaJoie,25,17,17,2,34,24,-26,144,170,5,3.5,0,8,2.0,0,0.0,400,50.5
Harrison Burton,13,27,18,3,31,23,-19,163,182,6,3.7,0,11,2.8,0,0.0,400,52.2
Brad Keselowski,3,3,19,2,29,16,0,104,104,75,72.1,33,216,54.0,0,0.0,400,91.9
Chase Briscoe,20,22,20,4,36,26,-36,120,156,17,14.2,1,37,9.3,0,0.0,400,44.9
Joey Logano,17,4,21,2,32,15,17,170,153,71,41.8,3,222,55.5,0,0.0,400,72.2
Ross Chastain,14,9,22,4,28,19,-13,130,143,56,43.1,0,129,32.3,0,0.0,400,57.8
Daniel Suarez,24,24,23,4,29,20,-7,91,98,57,62.6,0,157,39.3,0,0.0,400,56.8
Christopher Bell,9,7,24,1,28,12,46,148,102,84,56.8,28,249,62.3,48,12.0,400,85.3
Aric Almirola,23,29,25,8,34,24,-29,95,124,15,15.8,10,36,9.0,0,0.0,400,47.1
Ty Gibbs,19,5,26,3,28,12,-1,153,154,109,71.2,2,324,81.4,0,0.0,398,74.1
Ty Dillon,32,31,27,27,37,32,0,5,5,0,0.0,0,0,0.0,0,0.0,397,32.3
Michael McDowell,30,15,28,1,33,21,-17,154,171,28,18.2,13,65,16.4,4,1.0,396,54.9
B.J. McLeod,34,30,29,11,35,31,-5,25,30,0,0.0,1,1,0.3,0,0.0,392,32.7
Kyle Larson,12,13,30,1,25,11,14,138,124,98,71.0,7,304,80.6,1,0.3,377,81.9
Austin Cindric,21,21,31,11,32,20,2,134,132,42,31.3,1,93,25.2,0,0.0,369,55.4
Erik Jones,26,35,32,7,37,29,31,60,29,21,35.0,0,48,14.1,0,0.0,341,58.7
Todd Gilliland,35,32,33,32,37,34,3,5,2,0,0.0,0,0,0.0,0,0.0,265,28.5
Chase Elliott,6,33,34,1,23,23,-24,68,92,61,89.7,0,177,95.7,6,3.2,185,56.2
Denny Hamlin,4,34,35,1,29,22,0,61,61,39,63.9,7,179,96.8,20,10.8,185,73.0
Noah Gragson,28,36,36,1,36,34,-1,28,29,0,0.0,0,3,2.6,0,0.0,117,28.7
Jimmie Johnson,37,37,37,23,37,35,21,30,9,0,0.0,0,0,0.0,0,0.0,115,26.8
