Condition,From Lap,To Lap,# Of Laps,Reason,Free Pass
green_flag,1,67,67,,
yellow_flag,68,72,5,#17 accident turn 4,none
green_flag,73,76,4,,
yellow_flag,77,82,6,end of stage 1,#47
green_flag,83,151,69,,
yellow_flag,152,159,8,end of stage 2,#13
green_flag,160,166,7,,
yellow_flag,167,173,7,#9 accident turn 1,#17
green_flag,174,303,130,,
yellow_flag,304,309,6,#36 accident turn 1,#20
green_flag,310,312,3,,
Percent of race run under caution: 10.3%             Average green flag run: 46.7 laps
