Rank,Driver,Points,Diff
1,Martin Truex Jr,5000,
1,Denny Hamlin,5000,0
1,Kyle Busch,5000,0
1,Kevin Harvick,5000,0
5,Joey Logano,2344,-2656
6,Kyle Larson,2321,-2679
7,Ryan Blaney,2303,-2697
8,Brad Keselowski,2299,-2701
9,William Byron,2270,-2730
10,Clint Bowyer,2254,-2746
11,Chase Elliott,2253,-2747
12,Alex Bowman,2229,-2771
13,Kurt Busch,2221,-2779
14,Aric Almirola,2219,-2781
15,Ryan Newman,2189,-2811
16,Erik Jones,2157,-2843
17,Daniel Suarez,823,-4177
18,Jimmie Johnson,807,-4193
19,Paul Menard,757,-4243
20,Chris Buescher,708,-4292
21,Matt DiBenedetto,682,-4318
