Rank,Driver,Wins,Points
1,Ryan Blaney,0,87
2,William Byron,1,75
3,Tyler Reddick,0,72
4,Austin Cindric,0,68
5,Bubba Wallace,0,64
6,Ricky Stenhouse Jr,0,61
6,Kyle Larson,0,61
6,John H. Nemechek,0,61
9,Alex Bowman,0,59
10,Chase Elliott,0,56
11,Joey Logano,0,55
12,Christopher Bell,1,53
13,Michael McDowell,0,51
13,Denny Hamlin,0,51
15,Carson Hocevar,0,48
16,Chris Buescher,0,47
