Leader,From Lap,To Lap,# Of Laps
Austin Cindric,1,23,23
Todd Gilliland,24,25,2
Austin Cindric,26,32,7
Josh Berry,33,42,10
Todd Gilliland,43,43,1
Josh Berry,44,63,20
Cody Ware,64,64,1
Joey Logano,65,67,3
Josh Berry,68,68,1
Joey Logano,69,84,16
B.J. McLeod,85,85,1
Joey Logano,86,91,6
Todd Gilliland,92,92,1
Joey Logano,93,94,2
Todd Gilliland,95,96,2
Joey Logano,97,107,11
Todd Gilliland,108,108,1
Joey Logano,109,140,32
Alex Bowman,141,143,3
Joey Logano,144,146,3
Alex Bowman,147,147,1
Joey Logano,148,157,10
Alex Bowman,158,159,2
Kyle Larson,160,163,4
Chase Briscoe,164,168,5
Ross Chastain,169,180,12
Shane Van Gisbergen,181,181,1
Ross Chastain,182,188,7
Shane Van Gisbergen,189,189,1
Kyle Busch,190,192,3
William Byron,193,198,6
Kyle Busch,199,199,1
Josh Berry,200,212,13
Kyle Busch,213,213,1
Josh Berry,214,214,1
Kyle Busch,215,217,3
Ross Chastain,218,218,1
Kyle Busch,219,223,5
Ryan Blaney,224,224,1
Ross Chastain,225,226,2
Josh Berry,227,229,3
Ross Chastain,230,230,1
Josh Berry,231,238,8
Ross Chastain,239,239,1
Kyle Larson,240,240,1
Austin Cindric,241,257,17
Kyle Larson,258,263,6
Ross Chastain,264,264,1
Kyle Larson,265,265,1
Christopher Bell,266,266,1
