Rank,Driver,Points,Diff
1,Ryan Blaney,84,
2,William Byron,66,-18
2,Tyler Reddick,66,-18
4,Kyle Larson,61,-23
4,Ricky Stenhouse Jr,61,-23
6,John H. Nemechek,59,-25
6,Alex Bowman,59,-25
8,Austin Cindric,58,-26
9,Bubba Wallace,54,-30
10,Chase Elliott,53,-31
11,Christopher Bell,52,-32
12,Michael McDowell,51,-33
13,Chase Briscoe,49,-35
13,Joey Logano,49,-35
15,Carson Hocevar,48,-36
16,Denny Hamlin,44,-40
17,Todd Gilliland,42,-42
18,Riley Herbst,40,-44
19,Chris Buescher,39,-45
20,Erik Jones,37,-47
21,Austin Dillon,35,-49
