Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,32,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,266,running,1,40,5
2,26,77,Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,266,running,0,41,0
3,17,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,266,running,12,44,1
4,1,12,Ryan Blaney,BodyArmor Zero Sugar   (Roger Penske),Ford,266,running,1,36,0
5,34,47,Ricky Stenhouse Jr,Martin's Famous Potato Rolls   (HYAK Motorsports),Chevrolet,266,running,0,35,0
6,37,11,Denny Hamlin,Yahoo!   (Joe Gibbs),Toyota,266,running,0,31,0
7,6,8,Kyle Busch,Cheddar's Scratch Kitchen   (Richard Childress),Chevrolet,266,running,13,30,0
8,33,1,Ross Chastain,Moose Fraternity   (Trackhouse Racing),Chevrolet,266,running,25,29,0
9,14,23,Bubba Wallace,Columbia Sportswear Company   (23XI Racing),Toyota,266,running,0,44,0
10,22,42,John H. Nemechek,Dollar Tree   (Legacy Motor Club),Toyota,266,running,0,27,0
11,7,38,Zane Smith,City of Refuge   (Bob Jenkins),Ford,266,running,0,26,0
12,4,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,266,running,83,34,0
13,24,71,Michael McDowell,Group 1001   (Spire Motorsports),Chevrolet,266,running,0,24,0
14,12,16,A.J. Allmendinger,Action Industries   (Matthew Kaulig),Chevrolet,266,running,0,24,0
15,5,34,Todd Gilliland,Ford   (Bob Jenkins),Ford,266,running,7,26,0
16,15,3,Austin Dillon,Get Bioethanol   (Richard Childress),Chevrolet,266,running,0,21,0
17,27,35,Riley Herbst,Monster Energy   (23XI Racing),Toyota,266,running,0,20,0
18,11,60,Ryan Preece,Kroger / Gevalia / Entenmann's   (Jack Roush),Ford,266,running,0,19,0
19,18,45,Tyler Reddick,Xfinity Mobile   (23XI Racing),Toyota,266,running,0,28,0
20,19,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,266,running,0,23,0
21,25,19,Chase Briscoe,Bass Pro Shops   (Joe Gibbs),Toyota,266,running,5,16,0
22,38,78,B.J. McLeod,Live Fast Motorsports   (B.J. McLeod),Chevrolet,266,running,1,0,0
23,30,88,Shane Van Gisbergen,WeatherTech   (Trackhouse Racing),Chevrolet,266,running,2,14,0
24,21,7,Justin Haley,Gainbridge   (Spire Motorsports),Chevrolet,266,running,0,13,0
25,3,21,Josh Berry,Motorcraft  Quick Lane   (Wood Brothers),Ford,265,crash,56,22,1
26,13,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,265,running,6,17,0
27,16,24,William Byron,Liberty University   (Rick Hendrick),Chevrolet,263,running,6,25,0
28,2,2,Austin Cindric,MenardsDelta   (Roger Penske),Ford,257,running,47,20,0
29,20,10,Ty Dillon,Sea Best   (Matthew Kaulig),Chevrolet,242,running,0,8,0
30,8,17,Chris Buescher,Fastenal   (Jack Roush),Ford,240,running,0,7,0
31,28,43,Erik Jones,AdventHealth   (Legacy Motor Club),Toyota,240,running,0,6,0
32,36,54,Ty Gibbs,SAIA LTL Freight   (Joe Gibbs),Toyota,201,crash,0,5,0
33,29,99,Daniel Suarez,Freeway Insurance   (Trackhouse Racing),Chevrolet,183,crash,0,4,0
34,10,4,Noah Gragson,Ford   (Bob Jenkins),Ford,183,crash,0,4,0
35,31,51,Cody Ware,Arby's   (Rick Ware),Ford,183,crash,1,2,0
36,23,41,Cole Custer,3D Systems   (Gene Haas),Ford,183,crash,0,1,0
37,39,44,J.J. Yeley,Chevrolet,Chevrolet,183,crash,0,1,0
38,35,01,Corey LaJoie,AirMedCare Network   (Rick Ware),Ford,149,crash,0,1,0
39,9,6,Brad Keselowski,BuildSubmarines.com   (Jack Roush),Ford,149,crash,0,1,0
