Rank,Driver,Points,Diff
1,Kyle Larson,4065,
2,Denny Hamlin,4030,-35
3,Martin Truex Jr,4029,-36
4,Ryan Blaney,4024,-41
5,Kyle Busch,4023,-42
6,Chase Elliott,4022,-43
7,Joey Logano,4013,-52
8,Brad Keselowski,4008,-57
9,Kevin Harvick,2209,-1856
10,Christopher Bell,2164,-1901
11,Kurt Busch,2163,-1902
12,Tyler Reddick,2160,-1905
13,William Byron,2133,-1932
14,Alex Bowman,2131,-1934
15,Aric Almirola,2117,-1948
16,Michael McDowell,2087,-1978
17,Austin Dillon,835,-3230
18,Chris Buescher,690,-3375
19,Matt DiBenedetto,689,-3376
20,Ross Chastain,659,-3406
21,Bubba Wallace,656,-3409
