Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,10,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,109,running,8,45,5
2,29,8,Tyler Reddick,Lenovo   (Richard Childress),Chevrolet,109,running,0,35,0
3,16,17,Chris Buescher,Fastenal   (Jack Roush),Ford,109,running,1,34,0
4,9,18,Kyle Busch,M&M's   (Joe Gibbs),Toyota,109,running,22,47,1
5,1,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,109,running,25,32,0
6,30,21,Matt DiBenedetto,Menards / Duracell   (Wood Brothers),Ford,109,running,0,31,0
7,3,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,109,running,4,42,0
8,4,20,Christopher Bell,Irwin / Trade Strong   (Joe Gibbs),Toyota,109,running,0,29,0
9,6,12,Ryan Blaney,Dex Imaging   (Roger Penske),Ford,109,running,10,43,0
10,12,48,Alex Bowman,Ally x Charlotte FC   (Rick Hendrick),Chevrolet,109,running,0,29,0
11,11,24,William Byron,Valvoline   (Rick Hendrick),Chevrolet,109,running,30,30,0
12,8,9,Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,109,running,2,44,1
13,25,99,Daniel Suarez,CommScope   (Trackhouse Racing),Chevrolet,109,running,0,24,0
14,15,23,Bubba Wallace,Door Dash   (23XI Racing),Toyota,109,running,0,23,0
15,14,3,Austin Dillon,Whelen   (Richard Childress),Chevrolet,109,running,0,22,0
16,19,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,109,running,0,23,0
17,17,43,Erik Jones,Power to the Patients   (Richard Petty Motorsports),Chevrolet,109,running,0,20,0
18,23,41,Cole Custer,Autodesk / HaasTooling.com   (Stewart Haas Racing),Ford,109,running,0,19,0
19,31,37,Ryan Preece,Kleenex   (JTG-Daugherty Racing),Chevrolet,109,running,0,18,0
20,2,2,Brad Keselowski,Wurth   (Roger Penske),Ford,109,running,0,21,0
21,18,47,Ricky Stenhouse Jr,Kroger / Cottonelle   (JTG-Daugherty Racing),Chevrolet,109,running,0,16,0
22,22,14,Chase Briscoe,Ford Perf. Racing School / HighPoint.com   (Stewart Haas Racing),Ford,109,running,0,15,0
23,27,42,Ross Chastain,Clover   (Chip Ganassi),Chevrolet,109,running,0,14,0
24,21,10,Aric Almirola,Ford Warriors In Pink   (Stewart Haas Racing),Ford,109,running,0,13,0
25,13,1,Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,109,running,2,17,0
26,20,38,Anthony Alfredo,Citgard   (Bob Jenkins),Ford,109,running,0,11,0
27,36,52,Joey Hand,Boom Mobile   (Rick Ware),Ford,109,running,0,10,0
28,37,15,Josh Bilicki,Insurance King   (Rick Ware),Ford,109,running,0,0,0
29,5,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,109,running,0,18,0
30,28,00,Quin Houff,NC Sports HOF / Bos Klein   (StarCom Racing),Chevrolet,109,running,0,7,0
31,35,78,Scott Heckert,Bremont Chronometers   (B.J. McLeod),Ford,109,running,0,6,0
32,39,66,Timmy Hill,Coble Enterprises   (Carl Long),Toyota,108,running,0,0,0
33,7,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,98,crash,0,13,0
34,34,53,Garrett Smithley,Kendall Motor Oil   (Rick Ware),Chevrolet,96,running,0,0,0
35,26,7,Corey LaJoie,Schluter Systems   (Spire Motorsports),Chevrolet,93,crash,0,2,0
36,32,51,Cody Ware,Nurtec ODT   (Rick Ware),Chevrolet,90,crash,0,0,0
37,38,77,Justin Haley,Bon Secours / Swamp Rabbits   (Spire Motorsports),Chevrolet,66,engine,0,0,0
38,33,16,A.J. Allmendinger,Jackpot Party   (Matthew Kaulig),Chevrolet,57,engine,5,0,0
39,24,6,Ryan Newman,Castrol   (Jack Roush),Ford,19,crash,0,1,0
