Leader,From Lap,To Lap,# Of Laps
Clint Bowyer,1,1,1
Daniel Suarez,2,30,29
Aric Almirola,31,33,3
Joey Logano,34,42,9
Michael McDowell,43,58,16
Joey Logano,59,83,25
Kevin Harvick,84,86,3
William Byron,87,87,1
Joey Logano,88,123,36
Chris Buescher,124,124,1
Joey Logano,125,157,33
"Martin Truex, Jr.",158,167,10
Joey Logano,168,168,1
"Martin Truex, Jr.",169,170,2
Chase Elliott,171,181,11
Joey Logano,182,182,1
Denny Hamlin,183,185,3
Ryan Blaney,186,186,1
Kevin Harvick,187,229,43
Chase Elliott,230,230,1
William Byron,231,235,5
Kyle Larson,236,237,2
Matt DiBenedetto,238,246,9
Kevin Harvick,247,247,1
"Martin Truex, Jr.",248,267,20
