Rank,Driver,Points,Diff
1,Martin Truex Jr,2082,
2,Kevin Harvick,2079,-3
3,Joey Logano,2075,-7
4,Kyle Busch,2063,-19
5,Brad Keselowski,2058,-24
6,Chase Elliott,2057,-25
7,Denny Hamlin,2056,-26
8,Kyle Larson,2044,-38
9,William Byron,2040,-42
10,Ryan Blaney,2039,-43
11,Alex Bowman,2037,-45
12,Aric Almirola,2033,-49
13,Ryan Newman,2027,-55
14,Kurt Busch,2019,-63
15,Clint Bowyer,2012,-70
16,Erik Jones,2007,-75
17,Daniel Suarez,672,-1410
18,Jimmie Johnson,635,-1447
19,Paul Menard,598,-1484
20,Chris Buescher,573,-1509
21,Austin Dillon,520,-1562
