Rank,Driver,Points,Diff
1,Chase Elliott,4046,
2,Joey Logano,4026,-20
3,Ross Chastain,4021,-25
4,Christopher Bell,4018,-28
5,William Byron,4015,-31
5,Ryan Blaney,4015,-31
7,Denny Hamlin,4013,-33
8,Chase Briscoe,4009,-37
9,Kyle Larson,2200,-1846
10,Daniel Suarez,2162,-1884
11,Austin Cindric,2154,-1892
12,Tyler Reddick,2153,-1893
13,Austin Dillon,2134,-1912
14,Kyle Busch,2123,-1923
15,Kevin Harvick,2106,-1940
16,Alex Bowman,2104,-1942
17,Martin Truex Jr,900,-3146
18,Erik Jones,753,-3293
19,Bubba Wallace,708,-3338
20,Aric Almirola,685,-3361
21,Chris Buescher,652,-3394
