driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Christopher Bell,8,8,1,1,28,9,-5,73,78,21,28.8,3,101,90.2,2,1.8,112,103.9
Kevin Harvick,22,5,2,1,22,8,1,56,55,20,35.7,1,102,91.1,4,3.6,112,101.0
Kyle Busch,20,9,3,3,34,15,-3,90,93,20,22.2,1,59,52.7,0,0.0,112,86.0
A.J. Allmendinger,7,2,4,1,10,3,-9,26,35,16,61.5,24,112,100.0,24,21.4,112,119.0
Justin Haley,13,4,5,2,13,6,-9,40,49,23,57.5,1,112,100.0,0,0.0,112,103.5
Chris Buescher,21,13,6,6,35,18,6,115,109,19,16.5,1,62,55.4,0,0.0,112,75.0
Bubba Wallace,14,21,7,7,39,24,-3,123,126,17,13.8,0,13,11.6,0,0.0,112,62.3
Tyler Reddick,4,1,8,1,13,3,-14,45,59,20,44.4,15,112,100.0,21,18.8,112,115.9
Chase Briscoe,17,18,9,4,29,16,41,104,63,27,26.0,0,59,52.7,0,0.0,112,89.8
Austin Dillon,15,10,10,5,38,17,-6,106,112,32,30.2,2,62,55.4,0,0.0,112,89.9
Erik Jones,26,12,11,1,28,15,-6,132,138,18,13.6,7,52,46.4,1,0.9,112,85.9
Corey LaJoie,30,23,12,10,33,24,-13,123,136,12,9.8,0,13,11.6,0,0.0,112,71.5
Denny Hamlin,24,17,13,7,36,21,20,99,79,12,12.1,0,13,11.6,0,0.0,112,61.8
Brad Keselowski,31,16,14,5,33,19,2,107,105,19,17.8,0,25,22.3,0,0.0,112,64.0
Aric Almirola,37,19,15,15,37,26,13,105,92,1,1.0,2,2,1.8,0,0.0,112,69.4
William Byron,2,20,16,2,31,15,24,86,62,4,4.7,7,34,30.4,0,0.0,112,91.9
Martin Truex Jr,19,14,17,8,27,16,-4,93,97,19,20.4,0,71,63.4,0,0.0,112,75.2
Joey Logano,1,29,18,1,32,18,18,73,55,8,11.0,4,35,31.3,27,24.1,112,84.0
Ricky Stenhouse Jr,25,24,19,15,35,26,-25,83,108,0,0.0,0,0,0.0,0,0.0,112,50.0
Chase Elliott,9,3,20,1,26,5,-34,55,89,20,36.4,7,106,94.6,30,26.8,112,106.7
Austin Cindric,5,27,21,5,32,19,14,93,79,18,19.4,2,36,32.1,0,0.0,112,60.9
Ty Gibbs,16,15,22,8,23,16,-27,131,158,20,15.3,1,53,47.3,0,0.0,112,68.5
Noah Gragson,29,11,23,5,29,15,-22,105,127,20,19.0,1,64,57.1,0,0.0,112,87.5
Cole Custer,12,7,24,5,25,10,-9,81,90,24,29.6,0,102,91.1,0,0.0,112,80.5
Ty Dillon,28,22,25,10,38,27,5,106,101,3,2.8,0,1,0.9,0,0.0,112,58.0
Ryan Blaney,6,31,26,4,33,19,25,87,62,10,11.5,4,34,30.4,0,0.0,112,62.4
Michael McDowell,11,6,27,1,27,8,-37,54,91,24,44.4,5,103,92.0,0,0.0,112,86.7
Harrison Burton,23,32,28,2,37,23,9,53,44,10,18.9,0,26,23.4,0,0.0,111,59.2
Mike Rockenfeller,34,35,29,23,38,33,-3,77,80,0,0.0,0,0,0.0,0,0.0,111,38.5
Todd Gilliland,32,30,30,10,36,28,-6,94,100,4,4.3,1,2,1.8,0,0.0,111,39.5
Josh Williams,38,36,31,23,39,34,8,66,58,0,0.0,0,0,0.0,0,0.0,110,31.7
J.J. Yeley,35,38,32,31,38,35,1,48,47,0,0.0,0,0,0.0,0,0.0,110,30.0
Loris Hezemans,36,34,33,24,38,34,10,72,62,0,0.0,0,0,0.0,0,0.0,110,32.3
Conor Daly,39,37,34,34,39,37,5,26,21,0,0.0,0,0,0.0,0,0.0,109,28.8
Kyle Larson,18,28,35,3,36,20,25,93,68,18,19.4,4,53,49.5,0,0.0,107,63.8
Daniel Suarez,3,25,36,2,38,23,13,50,37,6,12.0,2,33,30.8,0,0.0,107,52.4
Ross Chastain,10,26,37,1,37,24,9,103,94,11,10.7,1,26,25.2,3,2.9,103,46.9
Joey Hand,27,33,38,13,36,32,-7,91,98,5,5.5,0,2,2.5,0,0.0,79,45.0
Daniil Kvyat,33,39,39,33,35,38,-5,5,10,0,0.0,0,0,0.0,0,0.0,17,25.3
