Rank,Driver,Points,Diff
1,Kyle Larson,359,
2,Martin Truex Jr,344,-15
3,Chase Elliott,337,-22
4,William Byron,335,-24
5,Tyler Reddick,316,-43
6,Denny Hamlin,308,-51
7,Ryan Blaney,302,-57
8,Ty Gibbs,296,-63
9,Ross Chastain,277,-82
10,Alex Bowman,261,-98
11,Bubba Wallace,257,-102
12,Chase Briscoe,256,-103
13,Christopher Bell,255,-104
14,Brad Keselowski,254,-105
15,Joey Logano,245,-114
15,Chris Buescher,245,-114
17,Kyle Busch,233,-126
18,Daniel Suarez,221,-138
19,Austin Cindric,192,-167
20,Erik Jones,181,-178
21,Carson Hocevar,172,-187
