Leader,From Lap,To Lap,# Of Laps
Michael McDowell,1,1,1
Austin Cindric,2,2,1
Michael McDowell,3,4,2
Austin Cindric,5,5,1
Martin Truex Jr,6,6,1
Daniel Hemric,7,9,3
B.J. McLeod,10,10,1
Daniel Hemric,11,14,4
Chase Briscoe,15,16,2
Justin Haley,17,18,2
Martin Truex Jr,19,21,3
Justin Haley,22,23,2
Martin Truex Jr,24,31,8
B.J. McLeod,32,33,2
Martin Truex Jr,34,35,2
B.J. McLeod,36,36,1
Martin Truex Jr,37,38,2
B.J. McLeod,39,39,1
Chase Briscoe,40,40,1
Noah Gragson,41,41,1
Chase Elliott,42,43,2
Shane Van Gisbergen,44,44,1
Brad Keselowski,45,45,1
Chase Elliott,46,47,2
Austin Cindric,48,51,4
Chase Elliott,52,52,1
Austin Cindric,53,62,10
Brad Keselowski,63,63,1
Kyle Busch,64,66,3
Ryan Blaney,67,67,1
Kyle Busch,68,68,1
Shane Van Gisbergen,69,69,1
Anthony Alfredo,70,70,1
Noah Gragson,71,71,1
John H. Nemechek,72,78,7
Noah Gragson,79,79,1
John H. Nemechek,80,80,1
Anthony Alfredo,81,81,1
John H. Nemechek,82,93,12
Denny Hamlin,94,94,1
Chris Buescher,95,95,1
Noah Gragson,96,96,1
Chris Buescher,97,97,1
Shane Van Gisbergen,98,98,1
Chris Buescher,99,101,3
Joey Logano,102,105,4
Denny Hamlin,106,106,1
Joey Logano,107,108,2
Denny Hamlin,109,110,2
Joey Logano,111,113,3
Chris Buescher,114,114,1
Joey Logano,115,122,8
Ty Gibbs,123,123,1
Joey Logano,124,126,3
Ross Chastain,127,128,2
Joey Logano,129,130,2
Ross Chastain,131,131,1
Noah Gragson,132,132,1
Ross Chastain,133,135,3
Anthony Alfredo,136,137,2
Josh Berry,138,140,3
Daniel Hemric,141,141,1
Michael McDowell,142,157,16
Carson Hocevar,158,158,1
Tyler Reddick,159,162,4
Michael McDowell,163,170,8
Tyler Reddick,171,171,1
Michael McDowell,172,174,3
Tyler Reddick,175,175,1
Michael McDowell,176,177,2
Tyler Reddick,178,178,1
Michael McDowell,179,182,4
Tyler Reddick,183,188,6
