Rank,Driver,Wins,Points
1,Kyle Larson,1,359
2,Martin Truex Jr,0,344
3,Chase Elliott,1,337
4,William Byron,3,335
5,Tyler Reddick,1,316
6,Denny Hamlin,2,308
7,Ryan Blaney,0,302
8,Ty Gibbs,0,296
9,Ross Chastain,0,277
10,Alex Bowman,0,261
11,Bubba Wallace,0,257
12,Chase Briscoe,0,256
13,Christopher Bell,1,255
14,Brad Keselowski,0,254
15,Joey Logano,0,245
15,Chris Buescher,0,245
