driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Tyler Reddick,18,24,1,1,35,17,6,478,472,187,39.1,3,79,42.0,13,6.9,188,85.3
Brad Keselowski,22,31,2,1,36,18,46,496,450,218,44.0,5,89,47.3,2,1.1,188,87.6
Noah Gragson,36,5,3,1,36,11,32,566,534,318,56.2,2,133,70.7,5,2.7,188,121.0
Ricky Stenhouse Jr,33,27,4,4,33,22,37,447,410,124,27.7,2,39,20.7,0,0.0,188,61.4
Alex Bowman,12,25,5,2,32,17,5,545,540,221,40.6,3,96,51.1,0,0.0,188,85.3
Anthony Alfredo,24,17,6,1,36,20,1,482,481,120,24.9,4,47,25.0,4,2.1,188,61.5
William Byron,13,19,7,2,35,17,-10,464,474,188,40.5,5,89,47.3,0,0.0,188,80.5
Todd Gilliland,3,6,8,1,31,13,-1,540,541,326,60.4,4,121,64.4,0,0.0,188,109.8
Daniel Hemric,19,22,9,1,34,16,-4,559,563,208,37.2,6,86,45.7,8,4.3,188,95.7
Harrison Burton,16,29,10,2,35,19,-28,513,541,149,29.0,6,64,34.0,0,0.0,188,68.8
Martin Truex Jr,6,7,11,1,36,17,-16,429,445,264,61.5,4,92,48.9,16,8.5,188,89.3
Chase Briscoe,26,36,12,1,37,25,-4,346,350,135,39.0,8,39,20.7,3,1.6,188,52.2
Ross Chastain,32,34,13,1,35,14,36,469,433,287,61.2,3,119,63.3,6,3.2,188,94.8
Ryan Preece,11,9,14,2,36,20,9,568,559,187,32.9,6,61,32.4,0,0.0,188,81.1
Chase Elliott,9,21,15,1,31,16,-11,566,577,195,34.5,4,79,42.0,5,2.7,188,82.1
Josh Berry,29,26,16,1,37,18,13,501,488,186,37.1,8,89,47.3,3,1.6,188,71.0
Carson Hocevar,35,35,17,1,37,29,13,302,289,17,5.6,8,12,6.4,1,0.5,188,58.7
Corey LaJoie,31,8,18,1,36,18,-16,536,552,222,41.4,7,77,41.0,0,0.0,188,71.1
Joey Logano,7,18,19,1,36,16,-16,444,460,195,43.9,1,94,50.0,22,11.7,188,67.1
Ryan Blaney,21,28,20,1,37,23,-16,382,398,106,27.7,5,54,28.7,1,0.5,188,46.3
Kyle Larson,38,10,21,1,38,21,33,369,336,209,56.6,2,81,43.1,0,0.0,188,67.9
Ty Gibbs,15,16,22,1,34,16,-24,558,582,253,45.3,2,93,49.5,1,0.5,188,78.4
Austin Cindric,2,15,23,1,26,11,-2,470,472,354,75.3,4,143,76.1,16,8.5,188,94.0
Cody Ware,34,3,24,2,37,27,10,401,391,60,15.0,5,27,14.4,0,0.0,188,42.2
Chris Buescher,8,4,25,1,30,17,1,533,532,164,30.8,6,66,35.1,6,3.2,188,73.8
Kyle Busch,4,11,26,1,34,12,-28,502,530,321,63.9,2,141,75.0,4,2.1,188,85.2
Daniel Suarez,25,33,27,2,37,20,12,474,462,231,48.7,4,83,44.1,0,0.0,188,49.6
Shane Van Gisbergen,17,13,28,1,37,20,-2,553,555,177,32.0,4,63,33.5,3,1.6,188,56.6
Zane Smith,30,37,29,3,38,30,-15,261,276,123,47.1,4,31,16.5,0,0.0,188,39.6
Austin Dillon,5,12,30,1,33,18,-19,504,523,246,48.8,3,80,42.6,0,0.0,188,55.0
Michael McDowell,1,23,31,1,32,13,-22,455,477,197,43.3,5,100,53.5,36,19.3,187,89.6
B.J. McLeod,37,38,32,1,38,30,1,207,206,133,64.3,7,32,17.1,5,2.7,187,61.0
John H. Nemechek,20,2,33,1,37,25,3,261,258,42,16.1,8,38,20.7,20,10.9,184,36.0
Justin Haley,27,30,34,1,37,26,0,348,348,134,38.5,5,37,20.1,4,2.2,184,36.6
Erik Jones,28,32,35,4,33,24,-9,348,357,53,15.2,2,34,22.1,0,0.0,154,32.3
Bubba Wallace,14,14,36,2,30,17,-20,423,443,276,65.2,1,96,62.3,0,0.0,154,68.6
Denny Hamlin,23,1,37,1,36,25,-10,347,357,185,53.3,4,51,33.1,4,2.6,154,34.5
Christopher Bell,10,20,38,2,36,23,-27,395,422,205,51.9,0,65,49.2,0,0.0,132,56.5
