Rank,Driver,Wins,Points
1,Ross Chastain,0,129
2,Alex Bowman,0,126
3,Daniel Suarez,0,104
4,Kevin Harvick,0,103
5,Martin Truex Jr,0,99
6,Denny Hamlin,0,97
7,Kyle Busch,1,92
8,Ricky Stenhouse Jr,1,86
9,Christopher Bell,0,85
10,William Byron,1,84
11,Chris Buescher,0,83
12,Joey Logano,0,82
13,Brad Keselowski,0,80
13,Kyle Larson,0,80
15,Ryan Blaney,0,73
16,Bubba Wallace,0,65
