Rank,Driver,Points,Diff
1,Ross Chastain,129,
2,Alex Bowman,126,-3
3,Kevin Harvick,108,-21
4,Daniel Suarez,104,-25
5,Martin Truex Jr,102,-27
6,Denny Hamlin,99,-30
7,Christopher Bell,94,-35
8,Kyle Busch,92,-37
8,Joey Logano,92,-37
10,Chris Buescher,90,-39
11,Brad Keselowski,87,-42
12,Ricky Stenhouse Jr,86,-43
13,Kyle Larson,85,-44
14,William Byron,84,-45
15,Ryan Blaney,81,-48
16,Bubba Wallace,69,-60
16,Austin Cindric,69,-60
18,Corey LaJoie,68,-61
19,A.J. Allmendinger,54,-75
20,Ty Gibbs,53,-76
21,Aric Almirola,52,-77
