Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,2,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,311,running,115,60,7
2,3,19,Martin Truex Jr,SiriusXM   (Joe Gibbs),Toyota,311,running,88,50,0
3,22,18,Kyle Busch,Interstate Batteries   (Joe Gibbs),Toyota,311,running,3,41,0
4,10,4,Kevin Harvick,Mobil 1   (Stewart Haas Racing),Ford,311,running,0,42,0
5,1,9,Chase Elliott,Mountain Dew / Team Rubicon   (Rick Hendrick),Chevrolet,311,running,27,33,0
6,4,14,Clint Bowyer,Haas Automation   (Stewart Haas Racing),Ford,311,running,0,46,0
7,6,48,Jimmie Johnson,Ally   (Rick Hendrick),Chevrolet,311,running,0,37,0
8,5,22,Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,311,running,0,37,0
9,7,2,Brad Keselowski,Wurth   (Roger Penske),Ford,311,running,9,42,0
10,19,47,Ricky Stenhouse Jr,Kroger / Pringles / Minute / Slim Jim   (JTG-Daugherty Racing),Chevrolet,311,running,1,29,0
11,21,41,Cole Custer,HaasTooling.com / Jacob Companies   (Stewart Haas Racing),Ford,311,running,0,26,0
12,13,20,Erik Jones,DeWalt Atomic   (Joe Gibbs),Toyota,311,running,0,25,0
13,16,8,Tyler Reddick,Cat App   (Richard Childress),Chevrolet,310,running,0,24,0
14,20,12,Ryan Blaney,Advance Auto Parts   (Roger Penske),Ford,310,running,0,23,0
15,32,3,Austin Dillon,Dow / Behr Ultra Scuff Defense   (Richard Childress),Chevrolet,310,running,49,31,0
16,12,17,Chris Buescher,SunnyD   (Jack Roush),Ford,310,running,0,23,0
17,17,10,Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,309,running,0,21,0
18,25,13,Ty Dillon,GEICO   (Germain Racing),Chevrolet,309,running,0,19,0
19,23,6,Ryan Newman,Guaranteed Rate   (Jack Roush),Ford,309,running,0,18,0
20,14,21,Matt DiBenedetto,Menards / Monster Energy   (Wood Brothers),Ford,309,running,17,17,0
21,11,88,Alex Bowman,Acronis   (Rick Hendrick),Chevrolet,309,running,0,16,0
22,18,95,Christopher Bell,Rheem / Procore   (Leavine Family Racing),Toyota,309,running,0,15,0
23,26,42,Matt Kenseth,Clover   (Chip Ganassi),Chevrolet,309,running,1,14,0
24,31,38,John H. Nemechek,Acme   (Bob Jenkins),Ford,309,running,0,13,0
25,27,37,Ryan Preece,Scott Brand   (JTG-Daugherty Racing),Chevrolet,309,running,0,12,0
26,15,34,Michael McDowell,Digital Ally Shield Cleansers   (Bob Jenkins),Ford,308,running,0,11,0
27,24,43,Bubba Wallace,Door Dash   (Richard Petty Motorsports),Chevrolet,308,running,0,10,0
28,8,24,William Byron,Axalta   (Rick Hendrick),Chevrolet,308,running,1,9,0
29,29,32,Corey LaJoie,Drydene   (Archie St. Hilaire),Ford,308,running,0,8,0
30,28,96,Daniel Suarez,CommScope   (Gaunt Brothers),Toyota,306,running,0,7,0
31,34,27,J.J. Yeley,Thriv5   (Rick Ware),Ford,302,running,0,0,0
32,37,53,Josh Bilicki,Insurance King / The Wounded Blue   (Rick Ware),Chevrolet,299,running,0,0,0
33,35,00,Quin Houff,Eagle Rock Wealth   (StarCom Racing),Chevrolet,298,running,0,4,0
34,33,66,Timmy Hill,Manscaped / SBC Contractors   (Carl Long),Toyota,298,running,0,0,0
35,38,51,Joey Gase,Race 4 Relief / Gift of Life Donor Program   (Rick Ware),Ford,293,running,0,0,0
36,30,15,Brennan Poole,Remember Everyone Deployed   (Rick Ware),Chevrolet,286,rear end,0,1,0
37,39,7,Garrett Smithley,"Tommy Baldwin Racing   (Tommy Baldwin, Jr.)",Chevrolet,241,battery,0,0,0
38,40,78,B.J. McLeod,Royal Teak Collection   (B.J. McLeod),Chevrolet,166,handling,0,0,0
39,36,77,Reed Sorenson,Spire Motorsports   (Spire Motorsports),Chevrolet,83,handling,0,1,0
40,9,1,Kurt Busch,Gearwrench   (Chip Ganassi),Chevrolet,6,crash,0,1,0
