Rank,Driver,Wins,Points
1,Kevin Harvick,6,981
2,Denny Hamlin,6,881
3,Brad Keselowski,3,845
4,Chase Elliott,2,808
5,Joey Logano,2,791
6,Martin Truex Jr,1,803
7,Ryan Blaney,1,778
8,Alex Bowman,1,626
9,Austin Dillon,1,532
10,Cole Custer,1,439
11,Aric Almirola,0,703
12,Kyle Busch,0,693
13,Kurt Busch,0,674
14,Clint Bowyer,0,664
15,Matt DiBenedetto,0,613
16,Jimmie Johnson,0,589
