Rank,Driver,Points,Diff
1,Kevin Harvick,981,
2,Denny Hamlin,881,-100
3,Brad Keselowski,845,-136
4,Chase Elliott,808,-173
5,Martin Truex Jr,803,-178
6,Joey Logano,791,-190
7,Ryan Blaney,778,-203
8,Aric Almirola,703,-278
9,Kyle Busch,693,-288
10,Kurt Busch,674,-307
11,Clint Bowyer,664,-317
12,Alex Bowman,626,-355
13,Matt DiBenedetto,613,-368
14,Jimmie Johnson,589,-392
15,William Byron,586,-395
16,Erik Jones,567,-414
17,Tyler Reddick,544,-437
18,Austin Dillon,532,-449
19,Christopher Bell,446,-535
20,Cole Custer,439,-542
21,Chris Buescher,426,-555
