Rank,Driver,Wins,Points
1,Kyle Larson,4,676
2,Martin Truex Jr,3,542
3,Alex Bowman,2,470
4,William Byron,1,605
5,Chase Elliott,1,592
6,Joey Logano,1,578
7,Kyle Busch,1,559
8,Ryan Blaney,1,510
9,Brad Keselowski,1,491
10,Christopher Bell,1,392
11,Michael McDowell,1,376
12,Denny Hamlin,0,686
13,Kevin Harvick,0,517
14,Austin Dillon,0,476
15,Tyler Reddick,0,417
16,Chris Buescher,0,392
