Rank,Driver,Points,Diff
1,Denny Hamlin,686,
2,Kyle Larson,676,-10
3,William Byron,605,-81
4,Chase Elliott,592,-94
5,Joey Logano,578,-108
6,Kyle Busch,559,-127
7,Martin Truex Jr,542,-144
8,Kevin Harvick,517,-169
9,Ryan Blaney,510,-176
10,Brad Keselowski,491,-195
11,Austin Dillon,476,-210
12,Alex Bowman,470,-216
13,Tyler Reddick,417,-269
14,Christopher Bell,392,-294
14,Chris Buescher,392,-294
16,Michael McDowell,376,-310
17,Kurt Busch,368,-318
18,Ricky Stenhouse Jr,349,-337
19,Matt DiBenedetto,346,-340
20,Ross Chastain,342,-344
21,Daniel Suarez,331,-355
