driver_name,start_pos,mid_race_pos,finish_pos,highest_pos,lowest_pos,avg_pos,pass_diff,green_flag_passes,green_flag_times_passed,quality_passes,pct_quality_passes,fastest_lap,top_15_laps,pct_top_15_laps,laps_led,pct_laps_led,total_laps,driver_rating
Kyle Larson,6,7,1,1,11,2,-4,35,39,17,48.6,35,109,100.0,62,56.9,109,150.0
Christopher Bell,12,9,2,1,22,5,0,63,63,30,47.6,7,108,99.1,1,0.9,109,120.6
William Byron,10,11,3,3,21,8,-9,71,80,31,43.7,0,103,94.5,0,0.0,109,110.8
Austin Cindric,5,4,4,3,25,7,6,86,80,32,37.2,2,101,92.7,0,0.0,109,108.1
Chase Elliott,7,26,5,3,29,11,43,89,46,29,32.6,4,76,69.7,0,0.0,109,101.0
A.J. Allmendinger,3,1,6,1,24,6,27,105,78,47,44.8,4,102,93.6,14,12.8,109,113.8
Shane Van Gisbergen,1,12,7,1,24,8,6,67,61,29,43.3,10,93,85.3,21,19.3,109,107.6
Joey Logano,4,2,8,2,27,8,9,60,51,23,38.3,0,95,87.2,0,0.0,109,98.8
Bubba Wallace,9,3,9,2,26,9,4,99,95,36,36.4,0,101,92.7,0,0.0,109,91.0
Ryan Blaney,14,27,10,2,31,13,39,89,50,38,42.7,0,83,76.1,0,0.0,109,88.0
Tyler Reddick,2,34,11,1,37,18,24,88,64,11,12.5,2,46,42.2,6,5.5,109,82.8
Carson Hocevar,20,13,12,5,34,14,-8,115,123,41,35.7,3,72,66.1,0,0.0,109,87.4
Kyle Busch,11,5,13,5,31,15,-4,96,100,26,27.1,0,81,74.3,0,0.0,109,80.2
Denny Hamlin,18,8,14,3,32,16,-4,88,92,21,23.9,0,61,56.0,0,0.0,109,74.3
Michael McDowell,21,6,15,5,36,14,-21,82,103,24,29.3,1,69,63.3,0,0.0,109,78.5
Ricky Stenhouse Jr,24,15,16,7,32,18,1,114,113,20,17.5,0,23,21.1,0,0.0,109,69.3
Chris Buescher,29,14,17,9,35,21,3,114,111,11,9.6,3,22,20.2,0,0.0,109,65.4
Alex Bowman,17,24,18,1,28,16,10,97,87,17,17.5,0,28,25.7,5,4.6,109,72.9
Todd Gilliland,15,10,19,8,31,19,4,114,110,22,19.3,1,36,33.0,0,0.0,109,62.9
Zane Smith,23,23,20,7,35,21,-25,108,133,12,11.1,0,13,11.9,0,0.0,109,60.8
Harrison Burton,26,21,21,11,34,25,-21,122,143,7,5.7,0,4,3.7,0,0.0,109,49.5
Martin Truex Jr,30,16,22,4,34,20,-1,122,123,19,15.6,6,42,38.5,0,0.0,109,68.8
Josh Berry,36,29,23,8,37,25,25,110,85,10,9.1,0,8,7.3,0,0.0,109,50.3
Brad Keselowski,8,20,24,1,35,16,-36,98,134,31,31.6,5,63,57.8,0,0.0,109,79.0
Daniel Hemric,27,18,25,6,33,23,-14,113,127,7,6.2,0,5,4.6,0,0.0,109,51.3
Ryan Preece,34,35,26,20,37,30,6,92,86,0,0.0,0,0,0.0,0,0.0,109,37.8
Justin Haley,33,22,27,11,35,26,-11,116,127,6,5.2,0,2,1.8,0,0.0,109,43.0
Kaz Grala,31,30,28,15,37,29,7,118,111,2,1.7,0,0,0.0,0,0.0,109,39.7
Ross Chastain,16,17,29,8,34,24,-13,81,94,8,9.9,1,22,20.2,0,0.0,109,49.7
Josh Bilicki,38,33,30,21,38,32,16,85,69,0,0.0,0,0,0.0,0,0.0,109,32.2
Daniel Suarez,13,28,31,5,33,22,-13,81,94,27,33.3,0,45,41.7,0,0.0,108,45.2
Noah Gragson,32,32,32,16,37,29,6,105,99,0,0.0,2,0,0.0,0,0.0,108,41.9
Austin Dillon,22,19,33,2,37,24,-20,116,136,11,9.5,2,13,12.2,0,0.0,107,55.2
Erik Jones,37,31,34,12,37,32,21,73,52,0,0.0,0,1,1.8,0,0.0,56,32.7
John H. Nemechek,35,25,35,15,36,33,-33,38,71,1,2.6,0,0,0.0,0,0.0,55,29.5
Ty Gibbs,19,36,36,6,36,28,25,61,36,9,14.8,1,8,14.8,0,0.0,54,48.6
Chase Briscoe,25,37,37,16,37,32,-36,41,77,0,0.0,0,0,0.0,0,0.0,41,35.2
Corey LaJoie,28,38,38,26,38,38,-10,5,15,0,0.0,0,0,0.0,0,0.0,3,23.7
