Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,6,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,109,running,62,48,5
2,12,20,Christopher Bell,DEWALT   (Joe Gibbs),Toyota,109,running,1,35,0
3,10,24,William Byron,Valvoline Confetti   (Rick Hendrick),Chevrolet,109,running,0,34,0
4,5,2,Austin Cindric,Menards  Sylvania   (Roger Penske),Ford,109,running,0,39,0
5,7,9,Chase Elliott,UniFirst   (Rick Hendrick),Chevrolet,109,running,0,48,0
6,3,16,A.J. Allmendinger,Celsius   (Matthew Kaulig),Chevrolet,109,running,14,0,0
7,1,13,Shane Van Gisbergen,WeatherTech   (Matthew Kaulig),Chevrolet,109,running,21,0,0
8,4,22,Joey Logano,Shell Pennzoil   (Roger Penske),Ford,109,running,0,47,0
9,9,23,Bubba Wallace,Leidos   (23XI Racing),Toyota,109,running,0,35,0
10,14,12,Ryan Blaney,Discount Tire   (Roger Penske),Ford,109,running,0,40,0
11,2,45,Tyler Reddick,Monster Energy   (23XI Racing),Toyota,109,running,6,36,1
12,20,77,Carson Hocevar,Delaware Life   (Spire Motorsports),Chevrolet,109,running,0,25,0
13,11,8,Kyle Busch,Lenovo   (Richard Childress),Chevrolet,109,running,0,27,0
14,18,11,Denny Hamlin,SportClips Haircuts   (Joe Gibbs),Toyota,109,running,0,24,0
15,21,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,109,running,0,26,0
16,24,47,Ricky Stenhouse Jr,Harris Teeter/Totino's   (JTG-Daugherty Racing),Chevrolet,109,running,0,21,0
17,29,17,Chris Buescher,Fifth Third Bank   (Jack Roush),Ford,109,running,0,20,0
18,15,38,Todd Gilliland,Boozy Jerky!   (Bob Jenkins),Ford,109,running,0,19,0
19,23,71,Zane Smith,Ambetter Health   (Spire Motorsports),Chevrolet,109,running,0,18,0
20,26,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,109,running,0,17,0
21,30,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,109,running,0,16,0
22,36,4,Josh Berry,Bed Bath & Beyond   (Stewart Haas Racing),Ford,109,running,0,15,0
23,8,6,Brad Keselowski,Castrol Edge   (Jack Roush),Ford,109,running,0,16,0
24,27,31,Daniel Hemric,Cirkul   (Matthew Kaulig),Chevrolet,109,running,0,13,0
25,34,41,Ryan Preece,United Rentals   (Stewart Haas Racing),Ford,109,running,0,12,0
26,33,7,Justin Haley,Mattress Warehouse   (Spire Motorsports),Chevrolet,109,running,0,11,0
27,31,15,Kaz Grala,MEAT N' BONE   (Rick Ware),Ford,109,running,0,10,0
28,16,1,Ross Chastain,Busch Light   (Trackhouse Racing),Chevrolet,109,running,0,9,0
29,38,66,Josh Bilicki,NCSHPfoundation.org   (Carl Long),Ford,109,running,0,0,0
30,13,99,Daniel Suarez,Choice Privileges   (Trackhouse Racing),Chevrolet,108,running,0,7,0
31,32,10,Noah Gragson,Beef a Roo   (Stewart Haas Racing),Ford,108,running,0,6,0
32,22,3,Austin Dillon,BetMGM   (Richard Childress),Chevrolet,107,running,0,5,0
33,37,43,Erik Jones,Family Dollar   (Legacy Motor Club),Toyota,56,crash,0,4,0
34,35,42,John H. Nemechek,Mobil 1   (Legacy Motor Club),Toyota,55,crash,0,3,0
35,19,54,Ty Gibbs,Interstate Batteries   (Joe Gibbs),Toyota,54,engine,0,6,0
36,25,14,Chase Briscoe,Ford Performance Racing School   (Stewart Haas Racing),Ford,41,crash,0,1,0
37,28,51,Corey LaJoie,Schluter Systems   (Rick Ware),Ford,3,engine,0,1,0
38,17,48,Alex Bowman,Ally   (Rick Hendrick),Chevrolet,109,running,5,1,0
