Rank,Driver,Points,Diff
1,Kyle Larson,4052,
2,Christopher Bell,4032,-20
3,Tyler Reddick,4029,-23
4,William Byron,4023,-29
5,Ryan Blaney,4019,-33
6,Denny Hamlin,4015,-37
7,Chase Elliott,4014,-38
8,Joey Logano,4012,-40
9,Alex Bowman,2195,-1857
10,Austin Cindric,2174,-1878
11,Ty Gibbs,2150,-1902
12,Martin Truex Jr,2146,-1906
13,Daniel Suarez,2127,-1925
14,Brad Keselowski,2120,-1932
15,Chase Briscoe,2110,-1942
16,Harrison Burton,2065,-1987
17,Chris Buescher,830,-3222
18,Bubba Wallace,824,-3228
19,Ross Chastain,821,-3231
20,Kyle Busch,711,-3341
