Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts
1,5,22,Joey Logano,Pennzoil   (Roger Penske),Ford,267,running,32,58,5
2,11,1,Ross Chastain,Tootsies Orchid Lounge   (Trackhouse Racing),Chevrolet,267,running,68,42,0
3,18,18,Kyle Busch,M&M's   (Joe Gibbs),Toyota,267,running,0,35,0
4,16,14,Chase Briscoe,CODE 3 ASSOCIATES   (Stewart Haas Racing),Ford,267,running,6,33,0
5,31,11,Denny Hamlin,FedEx Office   (Joe Gibbs),Toyota,267,running,5,38,0
6,1,8,Tyler Reddick,Alsco   (Richard Childress),Chevrolet,267,running,32,33,0
7,27,19,Martin Truex Jr,Bass Pro Shops   (Joe Gibbs),Toyota,267,running,0,36,0
8,22,43,Erik Jones,FOCUSfactor   (Petty GMS Motorsports),Chevrolet,267,running,0,29,0
9,21,16,A.J. Allmendinger,Celsius   (Matthew Kaulig),Chevrolet,267,running,0,0,0
10,10,3,Austin Dillon,Bass Pro Shops / Tracker Off Road   (Richard Childress),Chevrolet,267,running,0,27,0
11,17,48,Noah Gragson,Ally/Koker's Garage   (Rick Hendrick),Chevrolet,267,running,0,0,0
12,13,4,Kevin Harvick,Gearwrench   (Stewart Haas Racing),Ford,267,running,0,29,0
13,3,24,William Byron,RaptorTough.com   (Rick Hendrick),Chevrolet,267,running,0,30,0
14,28,31,Justin Haley,LeafFilter Gutter Protection   (Matthew Kaulig),Chevrolet,267,running,16,23,0
15,12,17,Chris Buescher,Castrol   (Jack Roush),Ford,267,running,0,22,0
16,6,99,Daniel Suarez,Kid Rock's Honky Tonk   (Trackhouse Racing),Chevrolet,267,running,31,37,0
17,25,6,Brad Keselowski,King's Hawaiian   (Jack Roush),Ford,267,running,0,20,0
18,23,10,Aric Almirola,Smithfield   (Stewart Haas Racing),Ford,267,running,0,19,0
19,15,34,Michael McDowell,Love's Travel Stops   (Bob Jenkins),Ford,267,running,0,18,0
20,24,41,Cole Custer,Feeding America/Wow Wow   (Stewart Haas Racing),Ford,267,running,0,17,0
21,20,9,Chase Elliott,Hooters   (Rick Hendrick),Chevrolet,267,running,0,16,0
22,19,23,Ty Gibbs,MoneyLion   (23XI Racing),Toyota,267,running,0,0,0
23,29,47,Ricky Stenhouse Jr,Kona Brewing Co Big Wave   (JTG-Daugherty Racing),Chevrolet,267,running,1,14,0
24,30,7,Corey LaJoie,OpTic Gaming   (Spire Motorsports),Chevrolet,267,running,0,13,0
25,35,38,Todd Gilliland,Ruedebusch Dev. & Construction   (Bob Jenkins),Ford,267,running,0,12,0
26,8,21,Harrison Burton,DEX Imaging   (Wood Brothers),Ford,266,running,0,11,0
27,34,51,Cody Ware,Nurtec ODT UBCF   (Rick Ware),Ford,264,running,0,10,0
28,4,12,Ryan Blaney,Menards  Knauf   (Roger Penske),Ford,260,running,39,25,1
29,2,2,Austin Cindric,AutoTrader   (Roger Penske),Ford,259,running,8,15,0
30,36,78,B.J. McLeod,Pala Casino Spa Resort   (B.J. McLeod),Ford,256,running,0,0,0
31,26,15,J.J. Yeley,ConectUS Kyocera   (Rick Ware),Ford,253,running,0,0,0
32,32,77,Landon Cassill,Voyager: Crypto for All   (Spire Motorsports),Chevrolet,246,crash,0,0,0
33,33,42,Ty Dillon,Lucky 29 Vodka   (Petty GMS Motorsports),Chevrolet,237,suspension,0,4,0
34,7,20,Christopher Bell,Rheem-Opteon   (Joe Gibbs),Toyota,94,dvp,0,10,0
35,14,5,Kyle Larson,HendrickCars.com   (Rick Hendrick),Chevrolet,94,crash,0,6,0
36,9,45,Bubba Wallace,McDonald's   (23XI Racing),Toyota,94,crash,29,11,1
