Rank,Driver,Points,Diff
1,Joey Logano,4084,
2,Ross Chastain,4063,-21
3,Chase Elliott,4062,-22
4,Denny Hamlin,4051,-33
5,William Byron,4045,-39
6,Chase Briscoe,4042,-42
7,Ryan Blaney,4040,-44
8,Christopher Bell,4028,-56
9,Kyle Larson,2206,-1878
10,Daniel Suarez,2199,-1885
11,Tyler Reddick,2186,-1898
12,Austin Cindric,2169,-1915
13,Austin Dillon,2161,-1923
14,Kyle Busch,2158,-1926
15,Kevin Harvick,2135,-1949
16,Alex Bowman,2104,-1980
17,Martin Truex Jr,936,-3148
18,Erik Jones,782,-3302
19,Bubba Wallace,719,-3365
20,Aric Almirola,704,-3380
21,Chris Buescher,674,-3410
