Rank,Driver,Wins,Points
1,Ross Chastain,2,490
2,Joey Logano,2,467
3,William Byron,2,438
4,Denny Hamlin,2,319
5,Chase Elliott,1,507
6,Kyle Busch,1,498
7,Kyle Larson,1,444
8,Alex Bowman,1,439
9,Chase Briscoe,1,362
10,Kurt Busch,1,333
11,Austin Cindric,1,330
12,Ryan Blaney,0,479
13,Martin Truex Jr,0,470
14,Christopher Bell,0,434
15,Aric Almirola,0,385
16,Tyler Reddick,0,379
