Rank,Driver,Points,Diff
1,Chase Elliott,507,
2,Kyle Busch,498,-9
3,Ross Chastain,490,-17
4,Ryan Blaney,479,-28
5,Martin Truex Jr,470,-37
6,Joey Logano,467,-40
7,Kyle Larson,444,-63
8,Alex Bowman,439,-68
9,William Byron,438,-69
10,Christopher Bell,434,-73
11,Aric Almirola,385,-122
12,Tyler Reddick,379,-128
13,Kevin Harvick,377,-130
14,Chase Briscoe,362,-145
15,Erik Jones,353,-154
16,Austin Dillon,350,-157
17,Kurt Busch,333,-174
18,Austin Cindric,330,-177
19,Denny Hamlin,319,-188
19,Daniel Suarez,319,-188
21,Michael McDowell,293,-214
