Rank,Driver,Wins,Points
1,Kyle Busch,4,818
2,Martin Truex Jr,4,701
3,Denny Hamlin,3,722
4,Brad Keselowski,3,695
5,Joey Logano,2,824
6,Kevin Harvick,1,739
7,Kurt Busch,1,650
8,Chase Elliott,1,616
9,Alex Bowman,1,596
10,Aric Almirola,0,614
11,Ryan Blaney,0,599
12,William Byron,0,582
13,Erik Jones,0,559
14,Kyle Larson,0,557
15,Ryan Newman,0,532
15,Clint Bowyer,0,532
