Rank,Driver,Points,Diff
1,Joey Logano,824,
2,Kyle Busch,818,-6
3,Kevin Harvick,739,-85
4,Denny Hamlin,722,-102
5,Martin Truex Jr,701,-123
6,Brad Keselowski,695,-129
7,Kurt Busch,650,-174
8,Chase Elliott,616,-208
9,Aric Almirola,614,-210
10,Ryan Blaney,599,-225
11,Alex Bowman,596,-228
12,William Byron,582,-242
13,Erik Jones,559,-265
14,Kyle Larson,557,-267
15,Clint Bowyer,532,-292
15,Ryan Newman,532,-292
17,Jimmie Johnson,520,-304
18,Daniel Suarez,501,-323
19,Paul Menard,464,-360
20,Ricky Stenhouse Jr,444,-380
21,Chris Buescher,439,-385
